Size;Random Array Sorting Time;Reverse Array Sorting Time;Nearly Sorted Array Sorting Time
500;69;49;50
600;86;66;67
700;77;79;89
800;94;65;96
900;117;80;108
1000;156;96;102
1100;158;132;118
1200;173;138;135
1300;183;124;105
1400;161;110;118
1500;177;122;133
1600;275;139;150
1700;231;157;167
1800;234;165;144
1900;209;150;163
2000;226;165;174
2100;243;180;190
2200;262;195;203
2300;281;210;218
2400;301;230;238
2500;247;157;174
2600;253;165;188
2700;266;177;189
2800;280;189;209
2900;295;199;220
3000;307;210;232
3100;348;226;245
3200;365;239;261
3300;384;252;274
3400;400;264;285
3500;387;237;256
3600;346;244;269
3700;360;257;272
3800;375;268;289
3900;390;282;300
4000;404;294;316
4100;422;308;317
4200;435;318;338
4300;451;332;347
4400;468;348;355
4500;420;314;331
4600;435;325;344
4700;448;338;356
4800;464;349;367
4900;364;240;262
5000;374;246;274
5100;382;255;279
5200;395;259;284
5300;406;266;298
5400;416;271;276
5500;377;249;283
5600;387;259;290
5700;396;266;303
5800;412;273;308
5900;415;281;318
6000;425;287;328
6100;435;297;330
6200;476;310;342
6300;489;320;356
6400;500;329;361
6500;513;335;368
6600;576;374;389
6700;539;354;387
6800;547;364;392
6900;560;374;402
7000;603;380;413
7100;580;389;424
7200;554;391;418
7300;565;399;425
7400;581;409;436
7500;588;419;445
7600;601;427;449
7700;610;437;463
7800;623;475;472
7900;634;458;481
8000;646;467;497
8100;660;476;496
8200;687;502;535
8300;696;496;514
8400;697;509;523
8500;709;518;533
8600;719;535;541
8700;731;540;554
8800;745;574;561
8900;758;563;574
9000;770;572;581
9100;785;585;598
9200;801;595;606
9300;811;646;616
9400;824;619;620
9500;839;630;634
9600;852;642;645
9700;667;439;455
9800;675;447;464
9900;682;448;473
10000;693;454;479
10100;700;463;486
10200;710;472;496
10300;727;477;504
10400;731;484;513
10500;739;487;515
10600;749;495;522
10700;759;503;531
10800;768;509;534
10900;780;517;545
11000;791;524;552
11100;798;533;562
11200;807;537;569
11300;817;549;569
11400;829;558;577
11500;841;564;587
11600;849;572;596
11700;857;579;604
11800;868;585;610
11900;879;596;619
12000;891;600;629
12100;900;612;635
12200;909;620;639
12300;929;628;651
12400;990;651;668
12500;1014;658;678
12600;1021;667;688
12700;1035;676;692
12800;1045;687;701
12900;1056;693;706
13000;1066;702;716
13100;1076;711;722
13200;1093;720;738
13300;1103;729;740
13400;1117;738;750
13500;1136;752;757
13600;1138;758;768
13700;1150;765;775
13800;1161;772;781
13900;1171;780;790
14000;1194;790;800
14100;1196;799;808
14200;1207;809;819
14300;1220;820;829
14400;1175;812;818
14500;1175;823;828
14600;1177;834;846
14700;1195;842;840
14800;1202;850;851
14900;1212;858;857
15000;1224;874;871
15100;1238;877;880
15200;1247;891;887
15300;1261;899;900
15400;1271;914;900
15500;1284;920;915
15600;1295;929;921
15700;1315;941;932
15800;1322;948;968
15900;1333;960;953
16000;1350;972;957
16100;1358;980;969
16200;1370;990;980
16300;1386;1003;984
16400;1413;1013;997
16500;1410;1025;1009
16600;1429;1036;1016
16700;1433;1045;1023
16800;1445;1055;1034
16900;1457;1066;1045
17000;1472;1078;1055
17100;1487;1095;1065
17200;1497;1098;1076
17300;1511;1107;1082
17400;1530;1122;1093
17500;1541;1135;1106
17600;1549;1147;1121
17700;1594;1185;1121
17800;1579;1168;1135
17900;1593;1182;1141
18000;1605;1190;1154
18100;1614;1202;1166
18200;1634;1210;1177
18300;1647;1226;1184
18400;1656;1241;1193
18500;1709;1245;1206
18600;1683;1255;1222
18700;1698;1274;1224
18800;1713;1283;1237
18900;1730;1289;1248
19000;1740;1304;1258
19100;1754;1329;1266
19200;1770;1328;1312
19300;1475;1006;995
19400;1391;915;913
19500;1405;922;916
19600;1412;938;921
19700;1428;939;928
19800;1431;939;931
19900;1442;949;939
20000;1458;955;950
20100;1461;967;954
20200;1470;973;990
20300;1479;985;970
20400;1489;989;977
20500;1510;992;989
20600;1512;1001;998
20700;1518;1007;996
20800;1584;1154;1149
20900;1616;1015;1012
21000;1550;1023;1020
21100;1565;1051;1025
21200;1567;1038;1032
21300;1580;1048;1048
21400;1592;1054;1053
21500;1599;1061;1053
21600;1610;1074;1064
21700;1619;1079;1072
21800;1632;1085;1077
21900;1646;1093;1085
22000;1651;1096;1090
22100;1663;1110;1106
22200;1674;1123;1108
22300;1685;1130;1109
22400;1702;1132;1121
22500;1704;1137;1126
22600;1711;1152;1140
22700;1724;1153;1145
22800;1735;1199;1148
22900;1749;1177;1159
23000;1752;1182;1166
23100;1765;1189;1180
23200;1775;1203;1185
23300;1784;1205;1192
23400;1801;1216;1197
23500;1804;1225;1205
23600;1817;1236;1223
23700;1827;1240;1223
23800;1842;1248;1233
23900;1850;1259;1237
24000;1862;1268;1247
24100;1879;1268;1252
24200;1878;1284;1261
24300;1897;1339;1271
24400;1904;1297;1276
24500;1914;1317;1286
24600;1946;1315;1290
24700;1993;1333;1304
24800;2066;1350;1333
24900;2094;1372;1342
