Size;Random Array Sorting Time;Reverse Array Sorting Time;Nearly Sorted Array Sorting Time
500;219;225;175
600;301;324;243
700;311;374;256
800;402;540;318
900;496;433;293
1000;430;420;360
1100;514;497;536
1200;862;729;512
1300;707;690;671
1400;947;936;806
1500;1081;1061;926
1600;1220;1191;1045
1700;1383;1256;1007
1800;1303;1297;1128
1900;1449;1439;1254
2000;1442;1488;1206
2100;1525;1526;1327
2200;1666;1523;1284
2300;1672;1609;1404
2400;1745;1754;1524
2500;1881;1897;1652
2600;2033;2045;1784
2700;2189;2207;1928
2800;2341;2366;2065
2900;2519;2537;2211
3000;2673;2730;2366
3100;2859;2887;2531
3200;3027;3117;2694
3300;3228;3263;2858
3400;3427;3466;3030
3500;3613;3670;3213
3600;3826;3877;3396
3700;4100;4092;3587
3800;4213;4334;3831
3900;4449;4574;3973
4000;4688;4767;4184
4100;4909;5042;4388
4200;5136;5256;4611
4300;5393;5564;4825
4400;5641;5771;5050
4500;5885;6070;5287
4600;6138;6332;5517
4700;6428;6602;5756
4800;6680;6934;6023
4900;6962;7154;6255
5000;7246;7403;6510
5100;7510;7861;6812
5200;7974;8199;7109
5300;8185;8457;7372
5400;8488;8741;7660
5500;8770;9312;8100
5600;9105;9444;8214
5700;9530;9915;8545
5800;9781;10083;8854
5900;10114;10577;9121
6000;10369;10915;9448
6100;10713;11227;9756
6200;11168;11622;10056
6300;11465;11930;10366
6400;12205;12189;10647
6500;12084;12549;10989
6600;12483;13103;11321
6700;12851;13372;11651
6800;13219;13512;11991
6900;13668;14186;12348
7000;14060;14555;12703
7100;14420;14823;13073
7200;14902;18836;17754
7300;17732;16732;14217
7400;15720;16389;14322
7500;16060;17176;14587
7600;16734;17175;14998
7700;16854;18089;15383
7800;17357;18199;15768
7900;17752;18563;16153
8000;18222;19073;16591
8100;18624;19510;17054
8200;19218;20432;17454
8300;19589;20603;17814
8400;20032;20983;18246
8500;20484;21403;18678
8600;20954;22028;19146
8700;21446;22518;19570
8800;21931;23107;20028
8900;22434;23632;20482
9000;23011;24040;21056
9100;23470;24538;21401
9200;23935;25175;21913
9300;24466;25758;22395
9400;25040;26375;22869
9500;25612;26909;23316
9600;26041;27378;23800
9700;26667;28030;24334
9800;27284;28494;24862
9900;27697;29371;25302
10000;28275;29780;25843
10100;28868;30267;26375
10200;29427;30934;26901
10300;29979;31573;27381
10400;30660;32117;27922
10500;31069;32674;28441
10600;31720;33282;29046
10700;32433;34123;29538
10800;32969;34568;30195
10900;33507;35233;30665
11000;34197;36282;31235
11100;34891;36757;31785
11200;35390;37159;32466
11300;35971;37923;32968
11400;36747;38553;33553
11500;37294;39265;34125
11600;37916;40004;34773
11700;38566;40634;35314
11800;39218;41219;35953
11900;39857;42030;36530
12000;40594;42692;37137
12100;41219;43439;37763
12200;41909;44206;38452
12300;43524;44875;39026
12400;43298;45595;39662
12500;43943;46260;40297
12600;44660;47249;41016
12700;45417;48301;41649
12800;46128;48559;42246
12900;46847;49200;42966
13000;47473;49981;43583
13100;48205;52308;44214
13200;49017;51739;44912
13300;49747;52481;45680
13400;50393;53652;46305
13500;51127;54063;46960
13600;52016;54899;47692
13700;52664;55581;48377
13800;53523;56400;49100
13900;54274;57361;49918
14000;55187;58214;50933
14100;55998;59038;51241
14200;56674;59780;52093
14300;57552;60679;52736
14400;58180;61564;53463
14500;59027;62337;54306
14600;59718;63237;55359
14700;60603;64002;55671
14800;61409;64911;56534
14900;62208;65733;57245
15000;63086;66650;58003
15100;63893;67656;58796
15200;65045;68341;60256
15300;66005;71850;63921
15400;73219;80729;66666
15500;73430;74897;65323
15600;70920;73530;64295
15700;70474;73159;63572
15800;70017;74010;64319
15900;70827;76293;65079
16000;71749;75846;66022
16100;72613;76893;67317
16200;73418;77845;67649
16300;74338;78659;68477
16400;75283;79586;69361
16500;76034;80718;70148
16600;77571;81776;71041
16700;78173;82594;71970
16800;78905;83603;72755
16900;80027;86047;73617
17000;80988;86015;74506
17100;81950;86542;75332
17200;82834;87427;76257
17300;83576;88562;77223
17400;84773;90456;78563
17500;86250;92215;79589
17600;87192;92024;79799
17700;87638;93216;81497
17800;91076;96439;83421
17900;91227;94859;82672
18000;90589;95891;83456
18100;91596;96950;84371
18200;92989;97938;85353
18300;93697;99166;86235
18400;94742;100190;87195
18500;95766;101233;88613
18600;96658;102510;89153
18700;97903;103597;90106
18800;98778;104679;90927
18900;100216;105839;92000
19000;100732;107053;92993
19100;101724;108063;93967
19200;103073;109297;94984
19300;105140;110456;95906
19400;105350;111427;97056
19500;106287;112611;97969
19600;107223;113905;98937
19700;108312;114955;99970
19800;109425;116066;101343
19900;110559;117384;102106
